"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"33",33,NA,"Novara Calcio",446,133,107,206,"545:705",-160,506,"Latest news »"
"34",34,NA,"Calcio Como",426,109,134,183,"411:572",-161,461,"Latest news »"
"35",35,NA,"Aurora Pro Patria",430,118,102,210,"526:784",-258,456,"Latest news »"
"36",36,NA,"Venezia FC",452,103,123,226,"456:715",-259,432,"Latest news »"
"37",37,NA,"Sassuolo Calcio",331,110,95,126,"459:515",-56,425,"Latest news »"
"38",38,NA,"Foggia Calcio",358,95,120,143,"360:477",-117,399,"Latest news »"
"39",39,NA,"AC Cesena",426,80,159,187,"364:570",-206,399,"Latest news »"
"40",40,NA,"ACN Siena 1904",358,85,116,157,"369:508",-139,364,"Latest news »"
"41",41,NA,"Reggina 1914",326,83,107,136,"324:467",-143,345,"Latest news »"
"42",42,NA,"US Avellino",300,79,111,110,"268:338",-70,343,"Latest news »"
"43",43,NA,"Lucchese",282,80,84,118,"347:470",-123,324,"Latest news »"
"44",44,NA,"Piacenza Calcio",272,65,88,119,"281:373",-92,283,"Latest news »"
"45",45,NA,"Pro Vercelli",200,65,41,94,"251:323",-72,236,"Latest news »"
"46",46,NA,"Mantova 1911 SSD",230,48,88,94,"182:266",-84,232,"Latest news »"
"47",47,NA,"AC Pisa",218,42,77,99,"174:275",-101,203,"Latest news »"
